Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
566	aliquot CD13 PerCP/Cy5.5	WM15	PerCP/Cy5.5	Human	Mouse IgG1, κ	BD Biosciences	561361	FACS	Abs box 5	D10		Fridge	NA	Kuiper
567	TARC/CCL17 PE	54015	PE	Human	mouse IgG1 kappa	R&D Systems	IC3641P		Abs box 4	B2		Fridge	NA	Kuiper
568	CD4 PerCP/Cy5.5	OKT4	PerCP/Cy5.5	Human	mouse IgG2b kappa	BioLegend	317427		Abs box 1	B4		Fridge	NA	Kuiper
569	CD117 BV605	YbB5.B8	BV5605	Human	Mouse IgG1, κ	BD Bioscience	745259		Abs box 3	D4		Fridge	NA	Kuiper
570	CD56 BV605	NCAM16.2	BV605	Human	?	BD Biosciences	562779		Abs box 3	B8		Fridge	NA	Kuiper
571	Precision Plus Protein WesternC standard					Bio-Rad	161-0376		Abs freezer box 1	NA		Freezer	WB	Kuiper
572	TCRab PE/Cy5	IP26	PE Cy5	Human	mouse IgG1 kappa	BioLegend	306710		Abs box 4	C8		Fridge	NA	Kuiper
573	CDT1	D10F11		Human	rabbit monoclonal	Cell Signaling Technology	8064S	?	Abs freezer box 1	NA		Freezer	WB	Kuiper
574	Cd34 Pe Cy7	581	PE Cy7	Human	?	BD Bioscience	561819		Abs box 2	D5		Fridge	NA	Kuiper
575	CD34 APC	561	APC	Human	mouse IgG2a kappa	BioLegend	343607		Abs box 2	D1	YES (2x)	Fridge	NA	Kuiper
576	CD3 APC	HIT3a	APC	Human	mouse IgG2a kappa	BioLegend	300311		Abs box 1	A10	YES (2x)	Fridge	NA	Kuiper
577	Human TruStain FC block	n.a.	n.a.	Human	n.a.	Biolegend	422301	FACS	Abs box 5	A3		Fridge	NA	Kuiper
578	CD16 FITC	3G8	FITC	Human	mouse IgG1 kappa	BioLegend	302005	1:100	Abs box 2	A10	YES	Fridge	NA	Kuiper
579	HPRT			Human	rabbit polyclonal	Abcam	ab10479	1:2000	Abs freezer box 1	NA		Freezer	WB	Kuiper
580	Invariant NK/T BV480	6B11	Brilliant Violet 480	Human	Mouse C57BL/6 IgG1, κ	BD Bioscience	746788	FACS	Abs box 5	C9		Fridge	NA	Kuiper
581	SETD3 antibody			Human		Sigma	HPA003591		Abs freezer box 2	NA		Freezer	WB/IF	Kuiper
582	CD15 BV711	W6D3	BV711	Human	?	BD Bioscience	563142		Abs box 2	A8		Fridge	NA	Kuiper
583	CD11c FITC	3.9	FITC	Human	Mouse IgG1, kappa	BioLegend	301604		Abs box 1	D8	YES	Fridge	NA	Kuiper
584	Anti-Phospho_Histone H2A.X	JBW301	n.a.	Human	Mouse mAb	Sigma/Merck	05-636	IF (1:1000)	Abs box 5	A9	YES	Fridge	NA	Kuiper
585	CD8a BV711	RPA-T8	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	301043	1:500	Abs box 1	C7	YES	Fridge	NA	Kuiper
586	BLM			Human	rabbit polyclonal	Abcam	ab2179		Abs freezer box 1	NA		Freezer	WB	Kuiper
587	CD117 BUV395	YB5.B8	BUV395	Human	Mouse BALB/c IgG1	BD Bioscience	745740	1:200	Abs box 3	D5		Fridge	NA	Kuiper
588	CD1a PE	HI149	PE	Human	Mouse IgG1, k 	Biolegend	300105	1:1000	Abs box 1	A1		Fridge	NA	Kuiper
589	CD141 APC	M80	APC	Human	Mouse IgG1 k	BioLegend	344105		Abs box 4	A1		Fridge	NA	Kuiper
590	CD11b APC	ICRF44	APC	Human	mouse IgG1 kappa	Biolegend	301309		Abs box 1	D7		Fridge	NA	Kuiper
591	CD14 BV750	63D3	BV750	Human	Mouse IgG1, k	BioLegend	367135		Abs box 2	A4		Fridge	NA	Kuiper
592	CD8a PE/Cy5	HIT8a	PE Cy5	Human	Mouse IgG1, κ	Biolegend	300909		Abs box 1	C9		Fridge	NA	Kuiper
593	CD66b FITC	G10F5	FITC	Human	mouse IgM kappa	BioLegend	305103		Abs box 3	C1		Fridge	NA	Kuiper
594	FCR-Blocker (for MACS)	n.a.	n.a.	Human	n.a	Miltenyi biotec	120-000-816	FACS	Abs box 5	D9		Fridge	NA	Kuiper
595	CD14 AF700	HCD14	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	325614	1:100	Abs box 2	A2	YES	Fridge	NA	Kuiper
596	7-AAD	n.a.	n.a.	Human	n.a.	Invitrogen	00-6993-50	FACS	Abs box 5	A10	YES	Fridge	NA	Kuiper
597	NSB1 (NBN)			Human	rabbit polyclonal	Invitrogen	711701		Abs freezer box 1	NA		Freezer	WB	Kuiper
598	CD117 PE/Dazzle 594	104D2	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	313225		Abs box 3	C10	YES	Fridge	NA	Kuiper
599	CD34 PE/Dazzle 594	581	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	343533		Abs box 2	D3	YES	Fridge	NA	Kuiper
600	CD4 PE/Cy7	OKT4	PE/Cy7	Human	Mouse BALB/c IgG1, κ	Biolegend	317413	1:500	Abs box 1	B5	YES	Fridge	NA	Kuiper
601	Hoechst 33342	n.a.	n.a.	Human	n.a.	Thermo Fischer 	H3570	IF 	Abs box 5	E5		Fridge	NA	Kuiper
602	phospho-yH2AX FITC	JBW301	FITC	Human	mouse mAb	Merck	16-202A		Abs freezer box 1	NA		Freezer	FACS	Kuiper
603	CD7 BV786	MT701	Brilliant Violet 786	Human	Mouse BALB/c IgG1, κ	BD Bioscience	740964	1:500	Abs box 1	C3		Fridge	NA	Kuiper
604	APOBEC3A			Human	rabbit polyclonal	Sigma	HPA043237-100UL		Abs freezer box 1	NA		Freezer	WB	Kuiper
605	CD8a AF700	HIT8a	AF700	Human	Mouse IgG1, κ	Biolegend	300920		Abs box 1	D1		Fridge	NA	Kuiper
606	CD3 BUV496	UCHT1	BUV496	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564810	1:500	Abs box 1	B2	YES	Fridge	NA	Kuiper
607	MCM8			Human	rabbit polyclonal	Proteintech	16451-1-AP	1:1000?	Abs freezer box 2	NA		Freezer	WB	Kuiper
608	CD8a FITC	HIT8a	FITC	Human	Mouse IgG1, κ 	BioLegend	300906		Abs box 1	D2		Fridge	NA	Kuiper
609	CCR10 APC	6588-5	APC	Human	Armenian Hamster IgG	BioLegend	341505		Abs box 4	D2		Fridge	NA	Kuiper
610	CD7 PECy7	MT701	PE/Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	564019		Abs box 1	C4		Fridge	NA	Kuiper
611	CD45 APC	2D1	APC	Human	mouse IgG1 kappa	BioLegend	368511	1:20	Abs box 3	A5	YES	Fridge	NA	Kuiper
612	CD13 APC	WM15	APC	Human	mouse IgG1 kappa	BioLegend	301705		Abs box 1	E3		Fridge	NA	Kuiper
613	CD20 PerCP	2H7		Human	Mouse IgG2b, kappaa	BioLegend	302323		Abs box 2	C1		Fridge	NA	Kuiper
614	Ig kappa light chain PECy7	MHK-49	Pe-Cy7	Human	Mouse IgG1, κ	BioLegend	316520	FACS	Abs box 5	E4		Fridge	NA	Kuiper
615	RUNX1 antibody			Human	rabbit polyclonal	Abcam	ab35962		Abs freezer box 2	NA		Freezer	WB	Kuiper
616	CD123 BV605	6H6	Brilliant Violet 605	Human	mouse IgG1 kappa	BioLegend	306025		Abs box 3	D6	YES	Fridge	NA	Kuiper
617	CD45 BV421	HI30	BV421	Human	Mouse IgG1, κ	Biolegend 	304031		Abs box 3	A9	YES	Fridge	NA	Kuiper
618	TCR Vd1 FITC	TS8.2	FITC	Human	Mouse IgG1	ThermoFisher	TCR2730		Abs box 4	C3		Fridge	NA	Kuiper
619	ATR			Human	rabbit polyclonal	Abcam	ab2905		Abs freezer box 1	NA		Freezer	WB	Kuiper
620	PMS2	EPR3947		Human	rabbit monoclonal	Abcam	ab110638		Abs freezer box 1	NA		Freezer	WB	Kuiper
621	CD1c APC	L161	APC	Human	mouse IgG1 kappa	Biolegend	331523		Abs box 1	A3		Fridge	NA	Kuiper
622	XPC			Human	rabbit Ab	Cell Signaling Technology	12701S	1:2500	Abs freezer box 1	NA		Freezer	WB	Kuiper
623	CD3 BV711	UCHT1	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	300463		Abs box 1	A9		Fridge	NA	Kuiper
624	CD19 PE/Dazzle 594	HIB19	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	302251		Abs box 2	B6	YES (2x)	Fridge	NA	Kuiper
625	CD2	RPA-2.10	None	Human	Mouse	Biolegend	300202	Interaction blocking	Abs box 5	C2	YES	Fridge	NA	Kuiper
626	FANCC			Human	rabbit polyclonal	Abcam	ab97575		Abs freezer box 1	NA		Freezer	WB	Kuiper
627	MGMT	MT 3.1	n.a.	Human	Mouse mAb IgG1 κ 	Invitrogen	MA5-13506	WB (1:500)	Abs box 5	B4		Fridge	NA	Kuiper
628	CD271 APC	ME20.4	APC	Human	mouse IgG1 kappa	BioLegend	345107		Abs box 4	A9	YES	Fridge	NA	Molenaar
629	CD127 AF488	HIL-7R-M21	AF488	Human	Mouse IgG1, κ	BD Pharmingen	567403		Abs box 3	E1		Fridge	NA	Molenaar
630	PMS1	E-3	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-515302	WB	Abs box 5	B9		Fridge	NA	Molenaar
631	mouse IgG FITC isotype control		FITC		mouse mAb	Merck	12-487		Abs freezer box 1	NA		Freezer	FACS	Molenaar
632	aliquot CD13 PerCP/Cy5.5	WM15	PerCP/Cy5.5	Human	Mouse IgG1, κ	BD Biosciences	561361	FACS	Abs box 5	D10		Fridge	NA	Molenaar
633	CCR10 APC	6588-5	APC	Human	Armenian Hamster IgG	BioLegend	341505		Abs box 4	D2		Fridge	NA	Molenaar
634	MSH3			human	rabbit polyclonal	Abcam	ab69619		Abs freezer box 1	NA		Freezer	WB	Molenaar
635	CD19 BV421	HIB19	BV421	Human	Mouse IgG1	BioLegend	302233		Abs box 2	B8		Fridge	NA	Molenaar
636	CD7 BV786	MT701	Brilliant Violet 786	Human	Mouse BALB/c IgG1, κ	BD Bioscience	740964	1:500	Abs box 1	C3		Fridge	NA	Molenaar
637	CD19 AF700	HIB19	Alexa Fluor 700	Human	mouse IgG1 kappa	bioLegend	302225		Abs box 2	B5		Fridge	NA	Molenaar
638	HLA-DR BV605	L243	BV605	Human	Mouse IgG2a kappa 	BioLegend	307639		Abs box 4	B5	Yes	Fridge	NA	Molenaar
639	CD56 BV711	HCD56	Brilliant Violet 711	Human	mouse IgG1 kappa	BioLegend	318335		Abs box 3	B4	YES	Fridge	NA	Molenaar
640	Annexin V/FITC	n.a.	FITC	Human	n.a.	Invitrogen	BMS306F1-100	FACS	Abs box 5	A4		Fridge	NA	Molenaar
641	CD45 PerCP/Cy5.5	HI30	PerCP/Cy5.5	Human	mouse IgG1 kappa	BioLegend	304027		Abs box 3	A8	YES	Fridge	NA	Molenaar
642	RNASEH1			Human	rabbit polyclonal	Abcam	ab229078	1:1000 WB	Abs freezer box 2	NA		Freezer	WB	Molenaar
643	MSH2	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 1	NA		Freezer	WB	Molenaar
644	CD11c PECy7	B-ly6	PE-Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	561356		Abs box 1	E2		Fridge	NA	Molenaar
645	MLH3	H-2	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-25313	WB (?)	Abs box 5	B7		Fridge	NA	Molenaar
646	CD235a PE/Cy7	6A-R2	PE/Cy7	Human	mouse IgG2b kappa	BioLegend	563666		Abs box 4	A7		Fridge	NA	Molenaar
647	CD40 PE/Cy7	5C3	PE/Cy7	Human	mouse IgG1 kappa	BioLegend	334321		Abs box 2	D8		Fridge	NA	Molenaar
648	CD90 APC	5E10	APC	Human	mouse IgG1 kappa	BioLegend	328113	1:200	Abs box 3	C4	YES	Fridge	NA	Molenaar
649	CD4 AF700	OKT4	AF700	Human	Mouse IgG2b, κ	Biolegend	317426		Abs box 1	B7		Fridge	NA	Molenaar
650	CD56 BB700	NCAM16.2	BB700	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	566574	1:500	Abs box 3	B6	YES	Fridge	NA	Molenaar
651	DAPI 500 uM	n.a.	n.a.	Human	n.a.	Thermo	D3571	All (IF 1:2000, FACS 1:500)	Abs box 5	D7		Fridge	NA	Molenaar
652	CD14 BV650	M5E2	Brilliant Violet 650	Human	Mouse IgG2a, κ	BD Bioscience	563419	1:500	Abs box 2	A3		Fridge	NA	Molenaar
653	CD66b FITC	G10F5	FITC	Human	mouse IgM kappa	BioLegend	305103		Abs box 3	C1		Fridge	NA	Molenaar
654	HLA-DR BUV737	G46-6	BUV737	Human	Mouse IgG2a, κ	BD Bioscience	748339		Abs box 4	B3		Fridge	NA	Molenaar
655	CD5 APC	UCHT2	APC	Human	Mouse IgG1, κ	BioLegend	300611		Abs box 1	B10		Fridge	NA	Molenaar
656	CD205 BUV395	MMR1-7	BUV395	Human	Mouse IgG1, κ	BD Bioscience	744062		Abs box 4	A5		Fridge	NA	Molenaar
657	TK1	EPR3193		Human	rabbit mAb	Abcam	ab76495	1:10000	Abs freezer box 1	NA		Freezer	WB	Molenaar
658	Anti-Phospho_Histone H2A.X	JBW301	n.a.	Human	Mouse mAb	Sigma/Merck	05-636	IF (1:1000)	Abs box 5	A9	YES	Fridge	NA	Molenaar
659	CD30 APC/Fire750	BY88	APC/Fire750	Human	Mouse IgG1, k	BioLegend	333915		Abs box 2	C6		Fridge	NA	Molenaar
660	CD1a BV421	HI149	BV421	Human	Mouse IgG1, k 	Biolegend	300128		Abs box 1	A2		Fridge	NA	Molenaar
661	CD56 AF488	B159	AF488	Human	Mouse IgG1, κ	BD Pharmigen	557699		Abs box 3	B5		Fridge	NA	Molenaar
662	CD34 PE/Dazzle 594	581	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	343533		Abs box 2	D3	YES	Fridge	NA	Molenaar
663	RPA32/RPA2	9H8		Human	mouse monoclonal	Abcam	ab2175		Abs freezer box 2	NA		Freezer	WB/IF	Molenaar
664	CD34 PE 	561	PE	Human	mouse IgG2a kappa	BioLegend	343605		Abs box 2	D4		Fridge	NA	Molenaar
665	HLA-DR BUV805	G46-6	BUV805	Human	?	BD Bioscience	568335		Abs box 4	B6		Fridge	NA	Molenaar
666	CD3 PE	UCHT1	PE	Human	Mouse BALB/c IgG1, κ	BD Bioscience	561809		Abs box 1	A8	Yes (2x)	Fridge	NA	Molenaar
667	CD54	HCD54	None	Human	Mouse	Biolegend	322702	Interaction blocking	Abs box 5	C3	YES 	Fridge	NA	Molenaar
668	CD34 APC	561	APC	Human	mouse IgG2a kappa	BioLegend	343607		Abs box 2	D1	YES (2x)	Fridge	NA	Molenaar
669	CD19 BV711	SJ25C1	BV 711	Human	Mouse BALB/c IgG1, κ	BD Bioscience	563038		Abs box 2	B3		Fridge	NA	Molenaar
670	HA-Tag 	C29F4		Human	rabbit mAb	Cell Signaling Technology	3724S		Abs freezer box 1	NA		Freezer	WB	Molenaar
671	CD123 BUV395	7G3	BUV395	Human	Mouse IgG2a, κ	BD Bioscience	564195		Abs box 3	D7		Fridge	NA	Molenaar
672	MSH2 antibody aliquots	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 2	NA		Freezer	WB	Molenaar
673	CD40 PE/Cy7	5C3	PE/Cy7	Human	mouse IgG1 kappa	BD Bioscience	561215		Abs box 2	D9		Fridge	NA	Molenaar
674	CD38 PE	HIT2	PE	Human	mouse IgG1 kappa	BioLegend	303505	1:50	Abs box 2	D6	YES	Fridge	NA	Molenaar
675	FANCC			Human	rabbit polyclonal	Abcam	ab97575		Abs freezer box 1	NA		Freezer	WB	Molenaar
676	BLM			Human	rabbit polyclonal	Abcam	ab2179		Abs freezer box 1	NA		Freezer	WB	Molenaar
677	OGG1	EPR4664(2)		Human	rabbit mAb	Abcam	ab124741	1:10000	Abs freezer box 1	NA		Freezer	WB	Molenaar
678	UNG	OTI1A11		Human	mouse IgG1	Invitrogen	MA5-25680	1:2500	Abs freezer box 1	NA		Freezer	WB	Molenaar
679	MPG	EPR10959(B)		Human	rabbit mAb	Abcam	ab155092	1:10000	Abs freezer box 1	NA		Freezer	WB	Molenaar
680	CD123 BV605	6H6	Brilliant Violet 605	Human	mouse IgG1 kappa	BioLegend	306025		Abs box 3	D6	YES	Fridge	NA	Molenaar
681	S9.6 (Anti-DNA-RNA Hybrid)	S9.6		Human	mouse monoclonal	Kerafast	ENH001		Abs freezer box 1	NA		Freezer	WB/IF/IP	Molenaar
682	PageRuler Prestained Protein ladder					Thermo Fisher	26616		Abs freezer box 1	NA		Freezer	WB	Molenaar
683	SMUG1			Human	rabbit polyclonal	Invitrogen	PA5-44258	1:1000	Abs freezer box 1	NA		Freezer	WB	Molenaar
684	pChk2 PE	C13C1	PE	Human	rabbit mAb	Cell Signaling Technology	12812S	FACS	Abs box 5	A1		Fridge	NA	Molenaar
685	CD14 PE	63D3	PE	Human	mouse IgG1 kappa	BioLegend	367103		Abs box 2	A1	YES	Fridge	NA	Molenaar
686	CD117 PE/Dazzle 594	104D2	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	313225		Abs box 3	C10	YES	Fridge	NA	Molenaar
687	TCR Vg9 APC	B3	APC	Human	Mouse IgG1, κ	Biolegend	331309		Abs box 4	C9		Fridge	NA	Molenaar
688	TCR Vg9 PE/Cy5	B3	PE Cy5	Human	Mouse IgG1, κ	BioLegend 	331323		Abs box 4	C7		Fridge	NA	Molenaar
689	TCR Vg9 APC/Fire 750	B3	APC Fire750 	Human	Mouse IgG1, κ	BioLegend 	331315		Abs box 4	C6		Fridge	NA	Molenaar
690	H3K36me2	C75H12		human	rabbit monoclonal	Cell Signaling Technology	2901	1:1000	Abs freezer box 1	NA		Freezer	WB	Molenaar
691	CD7 APC	CD7-6B7	APC	Human	mouse IgG2a kappa	BD Bioscience	343107		Abs box 1	C2		Fridge	NA	Molenaar
692	CD11c FITC	3.9	FITC	Human	Mouse IgG1, kappa	BioLegend	301604		Abs box 1	D8	YES	Fridge	NA	Molenaar
693	TCR Vd1 FITC	REA173	FITC	Human		Miltenyi	130-118-498		Abs box 4	C4		Fridge	NA	Molenaar
694	Anti-rabbit IgG AF488	n.a.	Alexa Fluor 488	Rabbit	Goat	invitrogen	2284595	IF	Abs box 5	A7		Fridge	NA	Molenaar
695	CD14 PE CF594	MphiP9	PE CF594	Human	?	BD Biosciences	562334		Abs box 2	A5		Fridge	NA	Molenaar
696	CD13 APC	WM15	APC	Human	mouse IgG1 kappa	BioLegend	301705		Abs box 1	E3		Fridge	NA	Molenaar
697	CD56 BV605	NCAM16.2	BV605	Human	?	BD Biosciences	562779		Abs box 3	B8		Fridge	NA	Molenaar
698	CD8a APC/Cy7	HIT8a	APC/Cy7	Human	Mouse IgG1, κ	Biolegend	300925		Abs box 1	C10		Fridge	NA	Molenaar
699	CD49f PE/Cy7	GoH3	PE/Cy7	Human	rat IgG1a kappa	BioLegend	313621	1:100	Abs box 3	B3	YES	Fridge	NA	Molenaar
700	CD44 BV510	IM7	BV510	Human	Rat IgG2b, k 	Biolegend	103044		Abs box 3	A2		Fridge	NA	Molenaar
701	CD25 PerCP-Cy5.5	M-A251	PerCP-Cy5.5	Human	Mouse BALB/c IgG1, κ	BD Pharmigen	560503		Abs box 2	C2		Fridge	NA	Molenaar
702	7-AAD	n.a.	n.a.	Human	n.a.	Invitrogen	00-6993-50	FACS	Abs box 5	A10	YES	Fridge	NA	Molenaar
703	CD8a AF700	HIT8a	AF700	Human	Mouse IgG1, κ	Biolegend	300920		Abs box 1	D1		Fridge	NA	Molenaar
704	TCRab APC	T10B9.1A-31	APC	Human	Mouse IgG1, κ	BD Bioscience	563821		Abs box 4	B7		Fridge	NA	Molenaar
705	CD30 PE 	BY88	PE	Human	Mouse IgG1 k	BioLegend	333906		Abs box 2	C7	YES	Fridge	NA	Molenaar
706	TCRgd APC	B1	APC	Human	Mouse IgG1, κ	BD Bioscience	561049		Abs box 4	B10	YES	Fridge	NA	Molenaar
707	CD5 PE	UCHT2	PE	Human	Mouse IgG1, κ 	BioLegend	300608		Abs box 1	C1		Fridge	NA	Molenaar
708	NSB1 (NBN)			Human	rabbit polyclonal	Invitrogen	711701		Abs freezer box 1	NA		Freezer	WB	Molenaar
709	FANCD2			Human	rabbit polyclonal	Novus Biologicals	NB100-182SS	1:500	Abs freezer box 1	NA		Freezer	WB/IF	Molenaar
710	CD45 FITC	HI30	FITC	Human	mouse IgG1 kappa	BioLegend	304005	1:50	Abs box 3	A7		Fridge	NA	Molenaar
711	Vybrant DyeCycle Ruby stain					Invitrogen	V10309		Abs freezer box 1	NA		Freezer	FACS	Molenaar
712	Lineage (CD3/14/19/20/56) FITC	n.a.	FITC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348701	1:20	Abs box 4	A10	YES	Fridge	NA	Molenaar
713	TARC/CCL17 PE	54015	PE	Human	mouse IgG1 kappa	R&D Systems	IC3641P		Abs box 4	B2		Fridge	NA	Molenaar
714	CD163 APC	GHI61	APC	Human	Mouse IgG1, k	BioLegend	333609		Abs box 4	A3		Fridge	NA	Molenaar
715	Anti-phopho-histone H3 (Ser10)	n.a.	n.a.	Human	n.a.	EMD Millipore	06-570		Abs box 5	D8	YES	Fridge	NA	Molenaar
716	ATM [Y170]			Human	rabbit monoclonal	Abcam	ab32420		Abs freezer box 1	NA		Freezer	WB	Molenaar
717	anti-mouse IgG HRP	n.a.	HRP	Mouse	sheep		NXA931V	WB (1:5000)	Abs box 5	E1		Fridge	NA	Molenaar
718	ATR			Human	rabbit polyclonal	Abcam	ab2905		Abs freezer box 1	NA		Freezer	WB	Molenaar
719	Hoechst 33342	n.a.	n.a.	Human	n.a.	Thermo Fischer 	H3570	IF 	Abs box 5	E5		Fridge	NA	Molenaar
720	CD2	RPA-2.10	None	Human	Mouse	Biolegend	300202	Interaction blocking	Abs box 5	C2	YES	Fridge	NA	Molenaar
721	phospho-yH2AX FITC	JBW301	FITC	Human	mouse mAb	Merck	16-202A		Abs freezer box 1	NA		Freezer	FACS	Molenaar
722	CD11b APC	ICRF44	APC	Human	mouse IgG1 kappa	Biolegend	301309		Abs box 1	D7		Fridge	NA	Molenaar
723	CD117 APC 	YB5.B8	APC	Human	mouse IgG1 kappa	BD Pharmingen	561118		Abs box 3	D1	YES	Fridge	NA	Molenaar
724	TDG			Human	rabbit polyclonal	abcam	ab227498		Abs freezer box 1	NA		Freezer	WB	Molenaar
725	CD11c BUV661	B-ly6	BUV661	Human	Mouse BALB/c IgG1, κ	BD Bioscience	565067/612968	1:200	Abs box 1	E1	YES	Fridge	NA	Molenaar
726	CD11b APC/Cy7	ICRF44	APC/Cy7	Human	mouse IgG1 kappa	BioLegend	301341		Abs box 1	D6	YES (2x)	Fridge	NA	Molenaar
727	CD141 APC	M80	APC	Human	Mouse IgG1 k	BioLegend	344105		Abs box 4	A1		Fridge	NA	Molenaar
728	TCRab PE/Cy5	IP26	PE Cy5	Human	mouse IgG1 kappa	BioLegend	306710		Abs box 4	C8		Fridge	NA	Molenaar
729	CD90 FITC	5E10	FITC	Human	?	BioLegend	328107		Abs box 3	C6		Fridge	NA	Molenaar
730	beta-Actin	RM112	n.a.	Human	rabbit mAb	Merck	MABT523	WB (1:5000)	Abs box 5	B3		Fridge	NA	Molenaar
731	CD30 APC	BY88	APC	Human	mouse IgG1 kappa	BioLegend	333909	1:25	Abs box 2	C5		Fridge	NA	Molenaar
732	p95/NBS1 (Y112)			Human	rabbit monoclonal	Abcam	ab32074		Abs freezer box 1	NA		Freezer	WB	Molenaar
733	CENPH antibody			Human		Sigma	HPA036494		Abs freezer box 2	NA		Freezer	WB/IF	Molenaar
734	CD127 BV421	HIL-7R-M21	BV421	Human	Mouse IgG1, kappa	BD Bioscience	562436		Abs box 3	D10		Fridge	NA	Molenaar
735	Lineage (CD3/14/19/20/56) APC	n.a.	APC	Human	mouse IgG1 + IgG2b kappa	BioLegend	348803		Abs box 4	B1		Fridge	NA	Molenaar
736	CD201/EPCR APC	RCR-401	APC	Human	Rat IgG1, Kappa	BioLegend	351905	1:50	Abs box 4	A4	YES	Fridge	NA	Molenaar
737	PMS2	EPR3947		Human	rabbit monoclonal	Abcam	ab110638		Abs freezer box 1	NA		Freezer	WB	Molenaar
738	TCR Vd2 PE	B6 	PE	Human	Mouse IgG1, κ	BioLegend	331407		Abs box 4	C5		Fridge	NA	Molenaar
739	CD42b PE	HIP1	PE	Human	mouse IgG1 kappa	BioLegend	303905	1:20	Abs box 2	E3	YES	Fridge	NA	Molenaar
740	HLA-DR FITC	L243	FITC	Human	Mouse IgG2a kappa 	Biolegend	307603	1:20	Abs box 4	B4	Yes	Fridge	NA	Molenaar
741	CD27 APCCy7	M-T271	APC/Cy7	Human	Mouse IgG1, κ	BioLegend	356423		Abs box 2	C4	YES	Fridge	NA	Molenaar
742	CD95 APC	DX2	APC	Human	mouse IgG1 kappa	BioLegend	305611		Abs box 3	C7		Fridge	NA	Molenaar
743	CD19 APC	HIB19	APC	Human	mouse IgG1 kappa	BioLegend	302211		Abs box 2	B4		Fridge	NA	Molenaar
744	XPC			Human	rabbit Ab	Cell Signaling Technology	12701S	1:2500	Abs freezer box 1	NA		Freezer	WB	Molenaar
745	CD34 BV421	581	Brilliant Violet 421	Human	mouse IgG2a kappa	BioLegend	343609	1:20	Abs box 2	D2	YES	Fridge	NA	Molenaar
746	anti-mouse IgG AF647	n.a.	Alexa Fluor 647	Mouse	goat	Invitrogen	2272554	IF	Abs box 5	B8		Fridge	NA	Molenaar
747	Cd34 Pe Cy7	581	PE Cy7	Human	?	BD Bioscience	561819		Abs box 2	D5		Fridge	NA	Molenaar
748	CD4 PerCP/Cy5.5	OKT4	PerCP/Cy5.5	Human	mouse IgG2b kappa	BioLegend	317427		Abs box 1	B4		Fridge	NA	Molenaar
749	CD45 AF700	HI30	Alexa Fluor 700	Human	mouse IgG1 kappa	BioLegend	304023		Abs box 3	A6	YES	Fridge	NA	Molenaar
750	CD20 PerCP	2H7		Human	Mouse IgG2b, kappaa	BioLegend	302323		Abs box 2	C1		Fridge	NA	Molenaar
751	CD3 BV711	UCHT1	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	300463		Abs box 1	A9		Fridge	NA	Molenaar
752	CD66b PE/Dazzle 594	G10F5	PE/Dazzle 594	Human	mouse IgM kappa	BioLegend	305121		Abs box 3	B10	YES	Fridge	NA	Molenaar
753	CD14 BV750	63D3	BV750	Human	Mouse IgG1, k	BioLegend	367135		Abs box 2	A4		Fridge	NA	Molenaar
754	POLI			Human	rabbit polyclonal	Novus biologicals	NB100-175	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Molenaar
755	CD5 BUV737	UCHT2	BUV737	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564451	1:500	Abs box 1	B9		Fridge	NA	Molenaar
756	FLAG (M2)	M2		Human	mouse monoclonal	Sigma	F1804	1:1000	Abs freezer box 1	NA		Freezer	WB	Molenaar
757	CD58	TS2/9	None	Human	Mouse	Biolegend	330902	Interaction blocking	Abs box 5	C4	YES (2x) 	Fridge	NA	Molenaar
758	CD8a BV711	RPA-T8	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	301043	1:500	Abs box 1	C7	YES	Fridge	NA	Molenaar
759	CD45RA BV605	HI100	BV605	Human	Mouse IgG2b, kappaa	Biolegend	304133		Abs box 3	B1		Fridge	NA	Molenaar
