Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
122	Annexin V/FITC	n.a.	FITC	Human	n.a.	Invitrogen	BMS306F1-100	FACS	Abs box 5	A4		Fridge	NA	Van Boxtel
123	Precision Plus Protein WesternC standard					Bio-Rad	161-0376		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
124	CD123 BUV395	7G3	BUV395	Human	Mouse IgG2a, κ	BD Bioscience	564195		Abs box 3	D7		Fridge	NA	Van Boxtel
125	BLM			Human	rabbit polyclonal	Abcam	ab2179		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
126	CD90 PECy7	5E10	PE/Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	561558		Abs box 3	C5	YES	Fridge	NA	Van Boxtel
127	Cd34 Pe Cy7	581	PE Cy7	Human	?	BD Bioscience	561819		Abs box 2	D5		Fridge	NA	Van Boxtel
128	HLA-DR BUV737	G46-6	BUV737	Human	Mouse IgG2a, κ	BD Bioscience	748339		Abs box 4	B3		Fridge	NA	Van Boxtel
129	CD16 FITC	3G8	FITC	Human	mouse IgG1 kappa	BioLegend	302005	1:100	Abs box 2	A10	YES	Fridge	NA	Van Boxtel
130	FLAG (M2)	M2		Human	mouse monoclonal	Sigma	F1804	1:1000	Abs freezer box 1	NA		Freezer	WB	Van Boxtel
131	CD8a AF700	HIT8a	AF700	Human	Mouse IgG1, κ	Biolegend	300920		Abs box 1	D1		Fridge	NA	Van Boxtel
132	CD3 FITC	OKT3	FITC	Human	mouse IgG2a kappa	Biolegend	317306	1:100	Abs box 1	A5		Fridge	NA	Van Boxtel
133	CD14 BV650	M5E2	Brilliant Violet 650	Human	Mouse IgG2a, κ	BD Bioscience	563419	1:500	Abs box 2	A3		Fridge	NA	Van Boxtel
134	CD117 PE/Dazzle 594	104D2	PE/Dazzle 594	Human	mouse IgG1 kappa	BioLegend	313225		Abs box 3	C10	YES	Fridge	NA	Van Boxtel
135	CD4 PerCP/Cy5.5	OKT4	PerCP/Cy5.5	Human	mouse IgG2b kappa	BioLegend	317427		Abs box 1	B4		Fridge	NA	Van Boxtel
136	TCR Vd1 FITC	TS8.2	FITC	Human	Mouse IgG1	ThermoFisher	TCR2730		Abs box 4	C3		Fridge	NA	Van Boxtel
137	CD326 (EpCAM) Pe/Cy7	9C4	Pe-Cy7	Human	Mouse IgG2b, κ	Biolegend	324221	FACS	Abs box 5	D3		Fridge	NA	Van Boxtel
138	TK1	EPR3193		Human	rabbit mAb	Abcam	ab76495	1:10000	Abs freezer box 1	NA		Freezer	WB	Van Boxtel
139	HA-Tag 	C29F4		Human	rabbit mAb	Cell Signaling Technology	3724S		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
140	CD15 BV711	W6D3	BV711	Human	?	BD Bioscience	563142		Abs box 2	A8		Fridge	NA	Van Boxtel
141	MLH3	H-2	n.a.	Human	Mouse mAb	Santa Cruz Biotechnology	sc-25313	WB (?)	Abs box 5	B7		Fridge	NA	Van Boxtel
142	CD8a FITC	HIT8a	FITC	Human	Mouse IgG1, κ 	BioLegend	300906		Abs box 1	D2		Fridge	NA	Van Boxtel
143	CD11b APC/Cy7	ICRF44	APC/Cy7	Human	mouse IgG1 kappa	BioLegend	301341		Abs box 1	D6	YES (2x)	Fridge	NA	Van Boxtel
144	CD64 FITC	10.1	FITC	Human	Mouse IgG1, k	BioLegend	305005		Abs box 3	B9	YES (2x)	Fridge	NA	Van Boxtel
145	CD3 BV711	UCHT1	Brilliant Violet 711	Human	Mouse IgG1, κ	Biolegend	300463		Abs box 1	A9		Fridge	NA	Van Boxtel
146	HPRT			Human	rabbit polyclonal	Abcam	ab10479	1:2000	Abs freezer box 1	NA		Freezer	WB	Van Boxtel
147	CD7 BV786	MT701	Brilliant Violet 786	Human	Mouse BALB/c IgG1, κ	BD Bioscience	740964	1:500	Abs box 1	C3		Fridge	NA	Van Boxtel
148	CD42b APC Vio770	?	APC Vio770	Human	?	Milteny Biotec	130100202		Abs box 2	E4		Fridge	NA	Van Boxtel
149	SF3B1	D7L5T		Human	Rabbit mAb	Cell Signaling Technology	14434S	1:1000 WB	Abs freezer box 2	NA		Freezer	WB (+FACS?)	Van Boxtel
150	RUNX1			Human	rabbit Ab	Cell Signaling Technology	4334S		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
151	Hoechst 33342	n.a.	n.a.	Human	n.a.	Thermo Fischer 	H3570	IF 	Abs box 5	E5		Fridge	NA	Van Boxtel
152	Streptavidin BV711	n.a.	Brilliant Violet 711	Human	n.a.	BioLegend	405241	FACS	Abs box 5	D1		Fridge	NA	Van Boxtel
153	anti-mouse IgG IRDye 680RD	n.a.	IRDye 680CW	Mouse	goat	LI-COR	925-68070	WB (1:10000)	Abs box 5	B2		Fridge	NA	Van Boxtel
154	MBD4			Human	rabbit polyclonal	Abcam	ab12187		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
155	CD73 BV421	AD2	Brilliant Violet 421	Human	mouse IgG1 kappa	BioLegend	344007		Abs box 3	C2		Fridge	NA	Van Boxtel
156	CD127 AF488	HIL-7R-M21	AF488	Human	Mouse IgG1, κ	BD Pharmingen	567403		Abs box 3	E1		Fridge	NA	Van Boxtel
157	CD8a PE/Cy5	HIT8a	PE Cy5	Human	Mouse IgG1, κ	Biolegend	300909		Abs box 1	C9		Fridge	NA	Van Boxtel
158	phospho-yH2AX FITC	JBW301	FITC	Human	mouse mAb	Merck	16-202A		Abs freezer box 1	NA		Freezer	FACS	Van Boxtel
159	7-AAD	n.a.	n.a.	Human	n.a.	Invitrogen	00-6993-50	FACS	Abs box 5	A10	YES	Fridge	NA	Van Boxtel
160	MGMT	MT 3.1	n.a.	Human	Mouse mAb IgG1 κ 	Invitrogen	MA5-13506	WB (1:500)	Abs box 5	B4		Fridge	NA	Van Boxtel
161	XPC			Human	rabbit Ab	Cell Signaling Technology	12701S	1:2500	Abs freezer box 1	NA		Freezer	WB	Van Boxtel
162	CD45 BV421	HI30	BV421	Human	Mouse IgG1, κ	Biolegend 	304031		Abs box 3	A9	YES	Fridge	NA	Van Boxtel
163									Abs box 5	C6		Fridge	NA	Van Boxtel
164	TCRab FITC	IP26	FITC	Human	Mouse IgG1, κ	Biolegend 	306705		Abs box 4	B8		Fridge	NA	Van Boxtel
165	CD127 BV421	HIL-7R-M21	BV421	Human	Mouse IgG1, kappa	BD Bioscience	562436		Abs box 3	D10		Fridge	NA	Van Boxtel
166	CD3 PE-Cy7	SK7	PE-Cy7	Human	mouse IgG1 kappa	BioLegend	344815		Abs box 1	A6	YES	Fridge	NA	Van Boxtel
167	TCRgd APC	11F2	APC	Human	Mouse IgG1, k 	Miltenyi	130-113-500		Abs box 4	B9		Fridge	NA	Van Boxtel
168	CD41 APC/Fire750	HIP8	APC/Fire750	Human	Mouse IgG, kappa	Biolegend	303749		Abs box 2	E2		Fridge	NA	Van Boxtel
169	CD3 AF700	Ucht1	AF700	Human	Mouse IgG1, k	Biolegend	300403		Abs box 1	B3	Yes	Fridge	NA	Van Boxtel
170	CD20 PerCP	2H7		Human	Mouse IgG2b, kappaa	BioLegend	302323		Abs box 2	C1		Fridge	NA	Van Boxtel
171	CD7 APC	CD7-6B7	APC	Human	mouse IgG2a kappa	BD Bioscience	343107		Abs box 1	C2		Fridge	NA	Van Boxtel
172	CD19 AF700	HIB19	Alexa Fluor 700	Human	mouse IgG1 kappa	bioLegend	302225		Abs box 2	B5		Fridge	NA	Van Boxtel
173	CD123 APC Fire 750	6H6	APC Fire 750	Human	Mouse IgG1 k 	BioLegend	306041		Abs box 3	D9		Fridge	NA	Van Boxtel
174	Invariant NK/T BV480	6B11	Brilliant Violet 480	Human	Mouse C57BL/6 IgG1, κ	BD Bioscience	746788	FACS	Abs box 5	C9		Fridge	NA	Van Boxtel
175	CD58	TS2/9	None	Human	Mouse	Biolegend	330902	Interaction blocking	Abs box 5	C4	YES (2x) 	Fridge	NA	Van Boxtel
176	FANCA	EPR16519		Human	rabbit monoclonal	Abcam	ab201457		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
177	RNASEH1			Human	rabbit polyclonal	Proteintech	15606-1-AP	1:1000 WB	Abs freezer box 2	NA		Freezer	WB	Van Boxtel
178	CD20 FITC	2H7	FITC	Human	mouse IgG2b kappa	BioLegend	302303	1:50	Abs box 2	B9	YES	Fridge	NA	Van Boxtel
179	MSH2 antibody aliquots	D24B5		Human	rabbit mAb	Cell Signaling Technology	2017S	1:2000	Abs freezer box 2	NA		Freezer	WB	Van Boxtel
180	CCRL1 BV711	13E11	Brilliant Violet 711	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747803		Abs box 4	C10		Fridge	NA	Van Boxtel
181	TDG			Human	rabbit polyclonal	abcam	ab227498		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
182	RUNX1 antibody			Human	rabbit polyclonal	Abcam	ab35962		Abs freezer box 2	NA		Freezer	WB	Van Boxtel
183	S100A4 PerCP-Cy5.5	NJ04F3-D1	PerCP-Cy5.5	Human	n.a.	Biolegend	370009	FACS (intracellular)	Abs box 5	D6		Fridge	NA	Van Boxtel
184	CD45 APC	2D1	APC	Human	mouse IgG1 kappa	BioLegend	368511	1:20	Abs box 3	A5	YES	Fridge	NA	Van Boxtel
185	CD123 BV605	6H6	Brilliant Violet 605	Human	mouse IgG1 kappa	BioLegend	306025		Abs box 3	D6	YES	Fridge	NA	Van Boxtel
186	FANCC			Human	rabbit polyclonal	Abcam	ab97575		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
